nom,z,fgas,sigma_fgas
Abell 2029,0.078,0.131,0.003
Abell 478,0.088,0.128,0.008
PKS 0745-191,0.103,0.119,0.004
RX J1524.2-3154,0.103,0.125,0.009
Abell 2204,0.152,0.131,0.008
RX J0439.0+0520,0.208,0.111,0.015
Zwicky 2701,0.214,0.109,0.006
RX J1504.1-0248,0.215,0.108,0.007
RX J2129.6+0005,0.235,0.14,0.016
Zwicky 2089,0.235,0.127,0.012
RX J1459.4-1811,0.236,0.13,0.01
Abell 1835,0.252,0.12,0.007
Abell 3444,0.253,0.142,0.013
MS 2137.3-2353,0.313,0.137,0.011
MACS J0242.5-2132,0.314,0.125,0.028
MACS J1427.6-2521,0.318,0.131,0.024
MACS J2229.7-2755,0.324,0.133,0.016
MACS J0947.2+7623,0.345,0.104,0.011
MACS J1931.8-2634,0.352,0.112,0.011
MACS J1115.8+0129,0.355,0.145,0.017
MACS J0150.3-1005,0.363,0.152,0.021
MACS J1532.8+3021,0.363,0.108,0.006
MACS J0011.7-1523,0.378,0.138,0.022
MACS J1720.2+3536,0.391,0.132,0.016
MACS J0429.6-0253,0.399,0.094,0.02
MACS J0159.8-0849,0.404,0.108,0.014
MACS J2046.0-3430,0.423,0.166,0.023
IRAS 09104+4109,0.442,0.096,0.012
MACS J1359.1-1929,0.447,0.095,0.02
RX J1347.5-1145,0.451,0.115,0.013
3C 295,0.46,0.115,0.021
MACS J1621.3+3810,0.461,0.121,0.02
MACS J1427.2+4407,0.487,0.144,0.017
MACS J1423.8+2404,0.539,0.143,0.012
SPT J2331-5051,0.576,0.121,0.019
SPT J2344-4242,0.596,0.157,0.025
SPT J0000-5748,0.702,0.081,0.023
SPT J2043-5035,0.723,0.156,0.017
CL J1415.2+3612,1.028,0.117,0.015
3C 186,1.063,0.117,0.019
