CID,IDSURVEY,zHD,RA_SN,DEC_SN,SRC_HEAD,HOST_RA,HOST_DEC
1246275,10,0.24605,54.647026,-26.401205,DES,54.647240000000004,-26.401072999999997
1246281,10,0.33549,53.725414,-27.622061,DES,53.726333999999994,-27.622108
1246314,10,0.38337,54.836567,-26.640186,DES,54.836571,-26.640257000000002
1246527,10,0.32078,36.018959,-5.016278,DES,36.019295,-5.015696
1246529,10,0.49677,36.113865,-4.944012,DES,36.114048,-4.9438949999999995
1246626,10,0.39282,37.306580,-4.333969,DES,37.306267,-4.334408
1246650,10,0.90888,35.910469,-5.107677,DES,35.909572999999995,-5.107671
1246717,10,0.53378,36.880352,-4.616096,DES,36.880340999999994,-4.616017
1246758,10,0.53127,36.618942,-5.539180,DES,36.618103000000005,-5.539466
1246791,10,0.83066,36.319378,-4.575553,DES,36.319611,-4.575352
1246796,10,0.55502,36.509102,-4.454980,DES,36.509128999999994,-4.454962999999999
1247022,10,0.35763,9.673174,-44.390999,DES,9.673444,-44.391026000000004
1247420,10,0.15026,34.056496,-4.197978,DES,34.056301,-4.197441
1247537,10,0.45565,34.025147,-5.010933,DES,34.025459000000005,-5.010814
1247570,10,0.57927,33.701939,-4.508135,DES,33.70203,-4.508106
1248039,10,0.22566,34.858139,-6.177352,DES,34.858189,-6.177236
1248084,10,0.28063,36.337151,-5.321758,DES,36.336864,-5.321878
1248243,10,0.32394,42.391460,-0.417734,DES,42.391346,-0.417613
1248441,10,0.24517,52.136707,-28.186800,DES,52.136944,-28.186865
1248677,10,0.35016,53.646217,-28.127001,DES,53.64628199999999,-28.126492
1248907,10,0.17053,7.281386,-43.140999,DES,7.2814820000000005,-43.140976
1248925,10,0.34307,7.489678,-42.731381,DES,7.489819000000001,-42.731388
1248936,10,0.57093,8.161520,-43.461304,DES,8.161636,-43.461281
1248962,10,0.48342,7.808602,-43.090942,DES,7.808713000000001,-43.090839
1249090,10,0.38620,8.479995,-42.312370,DES,8.479261,-42.312588
1249137,10,0.22305,8.135224,-42.493057,DES,8.135143,-42.49321
1249178,10,0.76517,6.957144,-43.081070,DES,6.957375999999999,-43.081134999999996
1249182,10,0.56017,6.820000,-42.573868,DES,6.8200970000000005,-42.573879
1249209,10,0.48312,6.962916,-42.385231,DES,6.96295,-42.385222999999996
1249245,10,0.36834,8.421629,-44.601704,DES,8.422099000000001,-44.602264
1249264,10,0.54968,8.183639,-43.873089,DES,8.18374,-43.873055
1249304,10,0.63681,40.629578,-1.440712,DES,40.629742,-1.441108
1249308,10,0.22806,40.863659,-1.601682,DES,40.863556,-1.602378
1249371,10,0.45085,41.362919,-0.253625,DES,41.362904,-0.253585
