bin,z,mu,sigma_mu_from_cov_diag
1,0.050000,36.630361,0.092760
2,0.100000,38.235499,0.088700
3,0.150000,39.147691,0.092325
4,0.200000,39.834880,0.090771
5,0.250000,40.340319,0.091641
6,0.300000,40.813875,0.091540
7,0.350000,41.202487,0.091923
8,0.400000,41.568946,0.092691
9,0.450000,41.822650,0.093324
10,0.500000,42.136311,0.093602
11,0.550000,42.352181,0.094340
12,0.600000,42.599505,0.095096
13,0.650000,42.793121,0.096514
14,0.700000,42.945322,0.097817
15,0.750000,43.125351,0.097508
16,0.800000,43.319655,0.098143
17,0.898138,43.647594,0.104747
18,0.996276,44.011256,0.105062
19,1.094415,44.191092,0.122754
20,1.232244,44.577985,0.117789
21,1.390961,44.842358,0.111923
22,2.262260,45.997159,0.339880
