cap,void_id,ra,dec,z,reff,tot_area,edge_area
NGC,0,116.1853126229163,25.77930416933239,0.19170286058415043,29.3163112906523,41568.32807809034,14649.28628117054
NGC,1,262.31984091888523,17.499738956891182,0.09744177799555469,25.103669370958713,27470.711886513436,8740.290534781543
NGC,2,250.1232032392835,6.956405821857867,0.21190640470456584,43.46136869047462,76671.17902734563,4926.861226172607
NGC,3,132.3884322665395,-4.658460287940273,0.1398566827763795,27.745164780479346,33294.13855340401,6775.182765717711
NGC,4,255.68697221215234,9.78214911504141,0.1672162869066207,31.38934183477897,39793.54726914789,7422.1041764203455
NGC,5,230.66606978578852,2.1319554072138733,0.18083662538569945,35.983285059401524,46993.457067453,3874.647962652822
NGC,6,234.78319994434355,3.7001491750538547,0.19416697482399922,33.51439986856528,36978.86540268731,713.5728305416241
NGC,7,253.50992657221553,10.003621244767903,0.21178742462061861,25.524896422790782,24593.159041274816,3255.294268118255
NGC,8,130.64712364889914,1.996059506904065,0.17244419714553777,28.546466385370458,30745.732388369273,2735.0574321467293
NGC,9,197.37322527450854,-2.2351717197168957,0.1498589865303434,23.16134505792856,17621.41542301089,1020.0008560338889
NGC,10,269.7020190737607,33.39749320673914,0.1604187125485539,25.521595145277985,26598.21760357238,5150.5472738917315
NGC,11,127.37058987762656,1.2044738769561332,0.13175368635608536,26.138632453306816,33791.43238365856,8876.54364201693
NGC,12,215.92043566002508,39.22568541126426,0.22609337303056917,26.099670685396337,30524.156849005034,6425.3288013389265
NGC,13,163.4233446562094,1.0667878127042525,0.2096075080267822,29.372784214733542,40745.98069161046,6836.116631791831
NGC,14,143.7859523383427,-6.2130481818791505,0.1825499473158027,21.63527742104213,19987.992972127446,3199.344712431164
NGC,15,255.11275628233756,5.755930123991329,0.20557927361673028,23.191373607460832,18994.01927347114,3919.6574296748763
NGC,16,248.71074161572093,5.620866430024881,0.1345258823184384,27.879944108702347,26804.830643681806,676.7595541696144
NGC,17,270.37960403084645,33.86602488458448,0.1579012940731211,28.096206018189253,36045.27030973045,7548.321147314862
NGC,18,228.32050032857984,-1.2217503460058545,0.21939064731824173,21.632736789926366,15214.054402861862,1434.1756697071646
NGC,19,96.76368616772834,65.93841676007415,0.16449084285205592,16.400743816356258,10182.561581772445,2857.8041524003693
NGC,20,131.35172341006515,1.2876345076802627,0.23498653377176362,14.557612850515236,8051.231459163498,1741.4003167932399
NGC,21,271.0321158484404,30.64172408473804,0.23253403692879626,18.47188566459278,13457.10601246996,4257.015077910849
NGC,22,249.77793484096492,8.650226575488167,0.17787312433334254,26.659008854069178,29174.689038801986,4725.537916727921
NGC,23,130.77486079843712,1.9295782359555584,0.23038565232470987,24.740796678446337,25546.256476241517,3950.2234134390037
NGC,24,145.61545455575987,-5.569344909367852,0.10180545675472734,13.89957273374977,7237.798896081904,1940.6081250331831
NGC,25,151.08845936619406,-5.326496337379484,0.1675893625419268,26.20909611757225,31613.48491223243,8156.696222692992
NGC,26,205.67681491285347,-1.2139234904930318,0.201415097470542,31.183801406027452,36872.06398586536,5025.132033317956
NGC,27,142.27972237882335,-5.345345994545716,0.17104245309837793,22.743373267042703,17318.51345646566,1978.478986285983
NGC,28,267.1765885826161,34.33840050777016,0.2304621228433957,19.79878073849879,17772.056828498364,6247.313052609081
NGC,29,177.57028914259527,0.1551252422390866,0.19973444449897013,15.455384053099666,7968.287757184071,874.6021956084377
NGC,30,228.58438300338958,33.737045792243215,0.17631544740883703,19.0651089762553,13305.941564000246,3043.0006139107372
NGC,31,240.53483639376395,6.522382891381242,0.19632332130744223,25.807971883796075,20764.930585277296,0.0
NGC,32,237.20395609810333,7.035297805048416,0.1925245739538944,24.981050484398256,21875.056201487936,2209.7707265655686
NGC,33,189.48060580102793,-4.0652720270785485,0.21398337260636535,33.26493318987395,57357.674632605645,13316.232795891328
NGC,34,142.8230350873891,-3.381999761161549,0.21782364602630613,27.260256448992752,25618.602647057833,0.0
NGC,35,160.18205967587605,-7.10290699190829,0.17350633010475042,22.891270846796996,19585.19513663163,3277.960186727631
NGC,36,211.02541520783302,1.4558403062456886,0.23052530325010226,19.304864318246118,11239.203534625458,1120.6553030675188
NGC,37,142.30601449316205,0.3704547784764989,0.18770788871580787,15.105580701680067,6928.531034580995,1349.8369374679892
NGC,38,249.04677028829508,1.728237619468295,0.1336668657287855,18.327751998461,12128.501652159033,3093.1055816074254
NGC,39,259.45534966596074,13.56774224107677,0.07668073426302045,15.912213052409555,10526.404097484205,3537.161362832198
NGC,40,165.32447965044952,-4.053421075913514,0.14547885381176154,21.309934379992566,16367.479420566413,1947.914412555518
NGC,41,214.69115997595864,-0.28507564606250896,0.21932093322032362,30.343261728950424,33081.14885621179,956.7698587933282
NGC,42,130.83742813822707,3.032360630401313,0.14318537449041,14.928655429048867,6329.321426533111,847.7154918192564
NGC,43,136.56999434451726,-0.5358807765175765,0.10691095671136204,19.890124188519312,13864.895908142713,1977.9430269746833
NGC,44,172.54920107903237,-6.338258659171191,0.1607101834843064,23.08435020056759,21792.1385372422,5101.90585116476
NGC,45,221.4041088038549,36.37740951805473,0.18622674897871375,24.08971009319214,19431.83555321773,872.9952801440388
NGC,46,211.14205281409252,0.8853623006600262,0.22011123027601143,14.613950227878663,5158.8372803847415,0.0
NGC,47,171.4311945002806,1.5799674086686313,0.14847332651178877,16.744335058072988,10067.0507017686,1825.0620743341206
NGC,48,230.1048972959118,5.11080908912027,0.1676902254713613,22.4921528852211,17751.104801165977,3869.8229080107258
NGC,49,146.1315348281725,-4.546182844050501,0.17105956148544005,22.12590074625831,17299.10547675347,2049.610643922081
NGC,50,164.83879333886952,-2.5420467757890934,0.2305473393750899,30.37797857733389,42933.430549184835,7081.5464038569025
NGC,51,198.09702618868474,4.259909254719705,0.21364070458826637,26.096531387432158,25308.275094921082,2040.3790904453142
NGC,52,232.11442493549714,5.078347645410054,0.22657012964682266,21.954265328866846,15568.393735828775,288.75251260426
NGC,53,256.2987094111249,7.031595927084155,0.1840179386975982,16.850372626526397,10457.342115548896,2449.777752401297
NGC,54,139.0417562855821,0.7203594332574984,0.13081326772777205,21.54312733289654,17947.892994650803,3510.406875997794
NGC,55,229.6643936222565,2.933038130304157,0.20447616011506642,25.88420457089293,22710.503484273573,1854.252063711839
NGC,56,274.31222288013987,42.69497204698762,0.20398902082696233,16.33391912100584,13239.95716416107,5022.946067533995
NGC,57,258.74743679311985,10.261008087469824,0.17635374367217024,19.14638768995852,12720.509601547863,2928.0591861682665
NGC,58,167.8167470046376,-3.2385052768953235,0.23271667861818227,19.15256601263933,14885.30874304,3448.4556992393573
NGC,59,249.58665997030528,2.3519744538081304,0.1712373790896822,25.428519254504486,22804.57872687531,3258.359654797167
NGC,60,174.8289855211545,-0.1148274870711338,0.19772881912528312,24.881203409711038,21193.789989906967,1817.5606942780303
NGC,61,268.9047112120769,30.716499214846827,0.2306969566464176,27.210562993603375,32551.10064440827,7252.334683333957
NGC,62,134.98650805617723,-3.537996178785946,0.1959932223035181,25.338932699507378,22084.006253376865,619.4492185434165
NGC,63,265.0894989233259,27.210125243193552,0.21038008679247205,27.87345405901579,35464.45925155994,7262.89562902083
NGC,64,195.37681955924285,1.288437117426049,0.16313287425900536,19.15985603138636,12667.17891730995,1901.52341593268
NGC,65,195.4087988218634,4.75931956780682,0.1644992428113233,18.935427469150635,15727.531209491193,4271.9954439772055
NGC,66,207.56345346795612,1.4041481198038517,0.21729615577368283,16.410918337308566,6629.765018098087,0.0
NGC,67,172.08004787965098,-6.320928152384009,0.2099390572489479,20.875519209146937,18797.02020779659,2873.0194908650333
NGC,68,207.43834987614903,5.836952450017399,0.21257872031144412,23.638740720903943,19076.374777624864,2045.3159049290607
NGC,69,138.15360759581702,-0.4137873774795768,0.12010389223800187,33.42365546283106,54844.929832818816,9652.149679720898
NGC,70,207.88520630950657,4.564913647619639,0.08664425168725202,18.628475920683957,13523.82840903057,3426.010887996088
NGC,71,212.5435862468664,1.710873382257562,0.20516230142022018,35.16674987800271,51008.26190674118,3807.0376373941417
NGC,72,215.68595652204763,-0.6258233214179887,0.23268177200085768,21.945717985603125,17374.12305903739,3787.7069620899238
