Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,
2,4,4,2,2,2,6,6,3,2,1,1,4,2,1,4,6,2,2,3,
82,53,57,53,73,67,55,145,78,87,88,20,47,45,23,50,46,64,35,29,
14,8,27,4,10,7,12,12,14,14,19,9,8,39,18,6,36,10,7,33,
48,46,60,29,64,28,29,50,28,44,38,43,56,51,96,163,55,78,26,52,
187,249,157,255,239,125,272,135,276,209,314,302,246,373,329,159,154,181,193,179,
90,52,48,77,96,78,40,77,97,127,114,52,88,82,98,96,44,80,62,61,
-1,83,101,93,171,153,97,97,111,150,67,72,81,70,88,73,107,120,105,157,
301,288,190,192,290,365,133,125,190,260,163,168,129,119,209,116,148,155,411,-1,
581,568,276,142,242,174,245,322,211,377,392,341,237,540,324,361,225,329,-1,652,
441,276,272,143,223,151,116,208,209,242,147,170,188,126,180,162,138,139,140,-1,
59,56,51,22,22,44,113,66,25,59,122,35,-1,138,92,133,165,18,10,111,
15,25,-1,12,12,12,28,10,9,13,18,7,7,7,38,8,5,22,12,10,
122,78,178,94,-1,-1,266,43,115,141,49,63,161,241,382,218,144,179,138,154,
172,159,125,168,162,245,204,143,194,226,225,229,140,132,213,-1,266,266,438,-1,
55,91,113,172,160,182,60,139,110,107,55,109,199,245,152,160,113,126,-1,-1,
220,366,225,157,230,210,571,407,-1,320,194,260,244,365,254,195,124,197,134,-1,
-1,-1,244,-1,207,147,121,74,141,81,81,75,109,117,143,188,150,156,178,286,
145,353,306,765,236,196,194,405,277,182,-1,372,150,-1,752,324,-1,292,451,327,
168,66,55,55,61,85,31,59,26,22,-1,60,18,28,-1,-1,159,151,273,41,
241,244,670,249,-1,624,241,708,122,314,217,375,167,275,204,168,399,-1,379,-1,
37,10,34,6,34,38,11,18,20,9,21,8,32,-1,-1,-1,10,95,31,38,
101,90,116,179,88,115,-1,316,171,154,182,154,138,-1,128,-1,364,394,137,226,
397,238,332,260,289,262,253,299,406,-1,320,325,-1,-1,484,605,282,252,298,333,
64,50,137,149,-1,-1,-1,245,182,-1,51,88,177,74,76,98,97,106,63,73,
21,-1,14,13,17,-1,-1,151,37,16,112,-1,28,21,78,33,38,35,44,60,
79,183,242,-1,-1,84,58,-1,56,111,25,68,61,59,90,64,220,165,-1,214,
-1,-1,-1,46,111,11,-1,30,21,37,39,51,46,-1,61,51,45,94,23,69,
49,242,132,-1,109,293,257,116,73,145,425,251,67,104,202,-1,-1,-1,145,-1,
-1,13,2,5,1,4,2,2,1,1,11,5,1,1,-1,2,4,-1,-1,-1,
