ID,Radius $(h^{-1}\mathrm{Mpc})$,Radius uncertainty $(h^{-1}\mathrm{Mpc})$,Mass $(10^{14}h^{-1}M_{\odot})$,Mass uncertainty $(10^{14}h^{-1}M_{\odot})$,R.A. (deg.),Dec. (deg.),z,Distance $(h^{-1}\mathrm{Mpc})$,SNR,Reproducibility Score,Central Density Contrast,Central Density Contrast Error,Average Density Contrast,Average Density Contrast Error,
1,21,0.3,9.5,0.4,343,37.2,0.026,113,18.3,1,-0.83,0.012,-0.72,0.0023,
2,14,0.2,3,0.2,0.263,-39.9,0.01,45.1,147,1,-0.88,0.0064,-0.71,0.0035,
3,17,0.3,5.1,0.2,139,8.68,0.031,135,21.3,1,-0.88,0.011,-0.73,0.0038,
4,14,0.2,3.2,0.2,40.6,-50.2,0.0072,32,23.7,1,-0.84,0.012,-0.71,0.0045,
5,11,0.2,1.4,0.07,218,-25.6,0.021,93.7,79.2,1,-0.87,0.011,-0.72,0.0036,
6,13,0.1,2.5,0.09,223,24.1,0.018,79.2,147,1,-0.88,0.0065,-0.72,0.0028,
7,13,0.1,2,0.07,49.6,14.5,0.011,48,42.2,0.95,-0.9,0.0057,-0.73,0.0024,
8,11,0.2,1.6,0.08,318,-19.7,0.0097,42.7,35,0.95,-0.88,0.0072,-0.7,0.0035,
9,10,0.2,1.2,0.09,212,-14.4,0.017,74.3,44.6,0.95,-0.86,0.0081,-0.69,0.0052,
10,11,0.2,1.5,0.06,174,-28.6,0.012,52.4,30,0.95,-0.88,0.0042,-0.72,0.0038,
11,14,0.4,2.9,0.3,246,-17.5,0.024,106,73.3,0.95,-0.85,0.011,-0.72,0.0036,
12,17,0.3,5.4,0.3,287,-37.9,0.025,109,80,0.95,-0.84,0.016,-0.72,0.0043,
13,12,0.3,2.1,0.2,253,29.4,0.017,76.5,52.2,0.9,-0.86,0.013,-0.7,0.006,
14,11,0.2,1.5,0.07,166,37.6,0.011,48.5,122,0.9,-0.87,0.0068,-0.71,0.0034,
15,12,0.2,2,0.1,115,24.2,0.024,108,19.4,0.9,-0.87,0.0056,-0.71,0.0048,
16,11,0.2,1.4,0.09,232,14.8,0.027,120,35.5,0.9,-0.86,0.01,-0.7,0.0067,
17,12,0.2,1.8,0.1,137,1.16,0.023,101,153,0.85,-0.88,0.0091,-0.72,0.0039,
18,10,0.3,1.2,0.1,265,46.3,0.0085,37.5,161,0.85,-0.87,0.0073,-0.71,0.0045,
19,14,0.4,3.1,0.3,50.7,-25.9,0.02,86.1,91.2,0.85,-0.85,0.0084,-0.7,0.0046,
20,10,0.3,1.3,0.1,54.2,-36.7,0.023,102,63.5,0.85,-0.86,0.011,-0.7,0.0058,
21,16,0.3,4.2,0.3,22.4,-51.9,0.025,111,13.9,0.85,-0.89,0.0098,-0.74,0.0041,
22,12,0.3,1.7,0.1,244,58.1,0.017,76.3,23.6,0.85,-0.87,0.0074,-0.71,0.0046,
23,10,0.1,1.1,0.06,178,42.8,0.019,83.4,58.5,0.85,-0.9,0.0053,-0.7,0.0054,
24,13,0.2,2.3,0.1,20.5,29.1,0.019,84.8,12.1,0.8,-0.86,0.0065,-0.71,0.0031,
25,15,0.4,3.9,0.3,125,9.6,0.016,72.6,20.8,0.8,-0.85,0.011,-0.71,0.0052,
26,13,0.4,2.4,0.2,221,-52.5,0.017,75.6,30.5,0.8,-0.9,0.0062,-0.71,0.0055,
27,15,0.3,3.3,0.3,217,6.09,0.029,127,22,0.75,-0.87,0.0082,-0.72,0.0048,
28,12,0.4,1.9,0.2,355,-43.7,0.016,71,36.5,0.75,-0.87,0.0096,-0.71,0.0056,
29,21,0.6,10,0.9,337,17,0.03,134,22.9,0.75,-0.86,0.01,-0.72,0.006,
30,10,0.2,1,0.07,243,-31.4,0.022,96.2,50.7,0.75,-0.88,0.0061,-0.74,0.0032,
31,10,0.3,1.2,0.1,291,61.6,0.012,51.5,83.1,0.75,-0.85,0.011,-0.68,0.0056,
32,12,0.2,1.6,0.1,229,-20.7,0.022,96.7,41,0.75,-0.85,0.01,-0.72,0.0044,
33,11,0.2,1.4,0.08,205,-6.75,0.023,99.5,44.5,0.75,-0.88,0.011,-0.72,0.0039,
34,11,0.3,1.3,0.09,37.4,30.6,0.017,72.9,18,0.75,-0.89,0.0056,-0.71,0.0042,
35,12,0.4,2,0.2,344,-13.1,0.027,117,26.7,0.75,-0.87,0.011,-0.72,0.0041,
36,13,0.3,2.1,0.2,53.3,29.6,0.021,92.1,82.3,0.75,-0.88,0.011,-0.73,0.0045,
37,17,0.5,5,0.5,329,28.7,0.021,90.5,14.9,0.75,-0.87,0.013,-0.73,0.0046,
38,14,0.6,2.9,0.4,128,12.1,0.026,113,85.3,0.7,-0.87,0.011,-0.73,0.005,
39,10,0.3,1.2,0.1,197,51,0.03,132,39.2,0.7,-0.89,0.012,-0.71,0.0066,
40,17,0.3,5.7,0.4,227,32.8,0.027,121,14.1,0.7,-0.83,0.013,-0.71,0.0051,
41,11,0.4,1.5,0.2,336,-30.3,0.029,128,33.7,0.7,-0.83,0.018,-0.7,0.0062,
42,15,0.5,3.8,0.4,59.5,27.7,0.026,115,26.4,0.7,-0.83,0.015,-0.71,0.0045,
43,11,0.4,1.3,0.2,296,-5.42,0.0095,41.9,21.9,0.7,-0.88,0.0093,-0.71,0.0052,
44,10,0.4,1.1,0.1,249,16.2,0.028,121,50,0.65,-0.87,0.011,-0.71,0.0067,
45,11,0.3,1.5,0.2,240,33.3,0.026,113,24.7,0.65,-0.88,0.0098,-0.71,0.0058,
46,13,0.4,2.4,0.2,15.8,-44.1,0.027,120,13.1,0.65,-0.87,0.017,-0.73,0.0057,
47,12,0.5,2,0.3,5.56,41.9,0.017,76.1,34,0.65,-0.85,0.011,-0.73,0.0063,
48,11,0.3,1.3,0.2,160,-33.9,0.028,122,93.4,0.65,-0.86,0.011,-0.71,0.0073,
49,12,0.5,2,0.3,129,29.5,0.024,106,39.6,0.65,-0.86,0.015,-0.73,0.0083,
50,11,0.4,1.5,0.2,344,-37.6,0.015,65.7,106,0.65,-0.87,0.0091,-0.73,0.0041,
51,12,0.3,1.6,0.1,342,-44.1,0.026,116,24.9,0.6,-0.86,0.012,-0.72,0.0047,
52,12,0.4,1.9,0.2,308,-9.08,0.027,117,138,0.6,-0.83,0.016,-0.72,0.0029,
53,12,0.3,1.8,0.2,357,16.8,0.021,92.2,23.8,0.6,-0.86,0.012,-0.7,0.0053,
54,10,0.3,1.1,0.1,212,-6.38,0.013,56.3,33.8,0.6,-0.89,0.01,-0.71,0.0061,
55,13,0.4,2.3,0.2,210,23.1,0.029,129,13.5,0.6,-0.87,0.016,-0.7,0.0045,
56,11,0.3,1.5,0.2,113,10.2,0.027,117,47.4,0.6,-0.85,0.023,-0.71,0.0078,
57,11,0.4,1.7,0.2,192,-4.76,0.022,97.4,76.5,0.6,-0.82,0.019,-0.7,0.0063,
58,12,0.3,1.5,0.1,27.4,23.4,0.015,65.3,15.6,0.6,-0.89,0.0053,-0.74,0.0045,
