Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,
2,4,4,2,2,2,6,6,3,2,1,1,4,2,1,4,6,2,2,3,
3,2,1,3,3,1,4,-1,6,-1,-1,3,-1,3,-1,-1,-1,-1,-1,-1,
4,58,10,24,-1,30,16,9,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,75,85,
6,47,43,19,-1,59,39,21,-1,-1,10,13,-1,14,-1,-1,14,38,-1,-1,
7,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
10,6,8,17,9,39,27,-1,-1,-1,-1,-1,10,4,11,23,9,15,8,-1,
11,-1,-1,189,92,16,197,31,18,36,76,41,-1,56,-1,125,185,-1,219,-1,
13,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
14,8,27,4,10,7,12,12,14,14,19,9,8,39,18,6,36,10,7,33,
15,25,-1,12,12,12,28,10,9,13,18,7,7,7,38,8,5,22,12,10,
16,19,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,67,
-1,23,7,15,21,6,9,4,23,6,26,38,37,18,21,13,21,-1,22,26,
20,20,-1,-1,-1,-1,-1,7,7,7,12,10,16,10,9,9,37,99,37,13,
21,-1,14,13,17,-1,-1,151,37,16,112,-1,28,21,78,33,38,35,44,60,
22,3,6,18,7,79,46,34,-1,-1,5,-1,13,52,-1,5,16,12,-1,27,
25,-1,-1,-1,-1,9,41,23,71,-1,6,-1,34,23,10,-1,-1,-1,-1,-1,
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,
27,80,15,34,54,-1,-1,-1,-1,-1,-1,-1,23,8,2,10,40,4,27,-1,
29,54,37,42,52,-1,-1,8,8,66,111,-1,38,-1,-1,-1,20,31,51,24,
30,28,-1,32,46,3,14,1,5,3,17,29,43,22,8,-1,31,36,-1,-1,
31,49,11,103,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
32,40,47,-1,81,-1,99,33,33,15,36,17,17,-1,-1,45,48,45,5,15,
33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,124,
34,111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,46,111,11,-1,30,21,37,39,51,46,-1,61,51,45,94,23,69,
36,68,105,-1,-1,-1,-1,-1,-1,-1,32,12,29,17,87,-1,15,113,176,-1,
37,10,34,6,34,38,11,18,20,9,21,8,32,-1,-1,-1,10,95,31,38,
38,144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
39,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,
40,-1,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
41,-1,-1,-1,161,10,-1,127,109,-1,-1,19,36,-1,-1,40,41,27,40,82,
43,-1,-1,-1,-1,-1,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
44,94,196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
45,74,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
46,31,35,-1,15,21,-1,69,151,30,-1,22,127,223,40,68,164,241,76,16,
47,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
48,46,60,29,64,28,29,50,28,44,38,43,56,51,96,163,55,78,26,52,
49,242,132,-1,109,293,257,116,73,145,425,251,67,104,202,-1,-1,-1,145,-1,
50,64,45,38,59,362,152,150,-1,120,-1,-1,375,249,-1,-1,-1,-1,229,265,
51,29,66,-1,-1,-1,168,-1,-1,-1,-1,138,172,103,36,-1,-1,-1,24,21,
53,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,74,80,-1,-1,-1,-1,-1,68,186,
54,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
55,91,113,172,160,182,60,139,110,107,55,109,199,245,152,160,113,126,-1,-1,
58,146,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
59,56,51,22,22,44,113,66,25,59,122,35,-1,138,92,133,165,18,10,111,
60,76,197,129,-1,207,-1,172,38,323,52,32,93,67,27,89,-1,-1,103,-1,
62,36,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,65,
63,-1,-1,165,18,14,18,-1,53,-1,-1,-1,-1,-1,39,-1,-1,50,115,-1,
64,50,137,149,-1,-1,-1,245,182,-1,51,88,177,74,76,98,97,106,63,73,
66,62,28,-1,-1,-1,-1,-1,-1,-1,-1,64,-1,-1,-1,-1,95,-1,17,-1,
67,34,30,-1,42,-1,-1,-1,153,149,-1,40,-1,58,77,-1,-1,-1,-1,-1,
-1,-1,244,-1,207,147,121,74,141,81,81,75,109,117,143,188,150,156,178,286,
70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,260,-1,-1,-1,-1,
71,114,-1,-1,-1,-1,-1,62,99,193,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,
73,79,207,-1,-1,-1,-1,-1,-1,-1,162,-1,-1,-1,99,46,53,144,-1,-1,
74,116,118,131,-1,-1,-1,-1,246,-1,179,171,66,-1,-1,-1,-1,-1,-1,-1,
75,-1,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,432,134,169,-1,-1,-1,-1,-1,178,282,139,79,67,95,-1,116,89,63,
77,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,142,
78,-1,-1,-1,369,161,159,-1,188,268,593,-1,-1,-1,-1,-1,-1,-1,-1,-1,
79,183,242,-1,-1,84,58,-1,56,111,25,68,61,59,90,64,220,165,-1,214,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,6,-1,18,23,56,38,19,
81,-1,-1,268,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
82,53,57,53,73,67,55,145,78,87,88,20,47,45,23,50,46,64,35,29,
83,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,-1,-1,321,-1,139,-1,-1,-1,-1,
85,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,309,-1,-1,-1,-1,-1,-1,-1,
87,127,-1,-1,-1,-1,-1,-1,-1,-1,146,233,307,-1,-1,-1,-1,-1,-1,-1,
88,409,639,628,782,-1,524,318,-1,-1,-1,-1,-1,-1,466,-1,139,-1,-1,262,
89,-1,-1,-1,-1,-1,-1,-1,83,104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
90,52,48,77,96,78,40,77,97,127,114,52,88,82,98,96,44,80,62,61,
91,-1,301,-1,-1,100,-1,-1,129,-1,-1,-1,21,-1,-1,-1,-1,39,116,211,
